Ano;Origem;País;Quantidade de Litros Exportados;Valor de Litros Exportados
2008;Brasil;Afeganistao;0;0
2009;Brasil;Afeganistao;0;0
2010;Brasil;Afeganistao;0;0
2011;Brasil;Afeganistao;0;0
2012;Brasil;Afeganistao;0;0
2013;Brasil;Afeganistao;0;0
2014;Brasil;Afeganistao;0;0
2015;Brasil;Afeganistao;0;0
2016;Brasil;Afeganistao;0;0
2017;Brasil;Afeganistao;0;0
2018;Brasil;Afeganistao;0;0
2019;Brasil;Afeganistao;0;0
2020;Brasil;Afeganistao;0;0
2021;Brasil;Afeganistao;11;46
2022;Brasil;Afeganistao;0;0
2023;Brasil;Afeganistao;0;0
2008;Brasil;Alemanha;265742;429970
2009;Brasil;Alemanha;225086;393482
2010;Brasil;Alemanha;27715;138666
2011;Brasil;Alemanha;36070;144150
2012;Brasil;Alemanha;8189;56342
2013;Brasil;Alemanha;61699;265978
2014;Brasil;Alemanha;213348;761653
2015;Brasil;Alemanha;10680;44780
2016;Brasil;Alemanha;14012;68109
2017;Brasil;Alemanha;15467;87702
2018;Brasil;Alemanha;10794;45382
2019;Brasil;Alemanha;3660;25467
2020;Brasil;Alemanha;6261;32605
2021;Brasil;Alemanha;2698;6741
2022;Brasil;Alemanha;7630;45367
2023;Brasil;Alemanha;4806;31853
2008;Brasil;Angola;25721;71083
2009;Brasil;Angola;54786;84235
2010;Brasil;Angola;33557;189891
2011;Brasil;Angola;13889;69001
2012;Brasil;Angola;2833;8861
2013;Brasil;Angola;1573;9300
2014;Brasil;Angola;12182;23124
2015;Brasil;Angola;1908;17089
2016;Brasil;Angola;7359;35390
2017;Brasil;Angola;10170;61680
2018;Brasil;Angola;477;709
2019;Brasil;Angola;345;1065
2020;Brasil;Angola;0;0
2021;Brasil;Angola;0;0
2022;Brasil;Angola;4068;4761
2023;Brasil;Angola;0;0
2008;Brasil;Anguilla;0;0
2009;Brasil;Anguilla;0;0
2010;Brasil;Anguilla;0;0
2011;Brasil;Anguilla;0;0
2012;Brasil;Anguilla;0;0
2013;Brasil;Anguilla;0;0
2014;Brasil;Anguilla;0;0
2015;Brasil;Anguilla;0;0
2016;Brasil;Anguilla;0;0
